날짜,시도지역코드,발생건수(건)
20140119,28,5313
20140119,29,2864
20140119,30,3558
20140119,31,2487
20140119,41,23030
20140119,42,1637
20140119,43,3098
20140119,44,3806
20140119,45,3551
20140119,46,4341
20140119,47,3197
20140119,48,4519
20140119,49,2308
20140119,99,81285
20140120,11,119605
20140120,26,45406
20140120,27,29198
20140120,28,33944
20140120,29,19639
20140120,30,18329
20140120,31,16232
20140120,41,147363
20140120,42,15541
20140120,43,17443
20140120,44,27041
20140120,45,27629
20140120,46,25913
20140120,47,31676
20140120,48,41319
20140120,49,9455
20140120,99,625999
20140121,11,88186
20140121,26,31812
20140121,27,20470
20140121,28,26143
20140121,29,12512
20140121,30,13396
20140121,31,11662
20140121,41,112403
20140121,42,10363
20140121,43,12810
20140121,44,18921
20140121,45,17081
20140121,46,17166
20140121,47,22506
20140121,48,28720
20140121,49,6589
20140121,99,450930
20140122,11,92010
20140122,26,32448
20140122,27,20627
20140122,28,27134
20140122,29,13618
20140122,30,14384
20140122,31,12031
20140122,41,114796
20140122,42,11210
20140122,43,13771
20140122,44,19828
20140122,45,19008
20140122,46,18882
20140122,47,23321
20140122,48,28878
20140122,49,7111
20140122,99,469262
20140123,11,95412
20140123,26,34357
20140123,27,21804
20140123,28,27702
20140123,29,14379
20140123,30,14620
20140123,31,12424
20140123,41,120768
20140123,42,12211
20140123,43,14321
20140123,44,20798
20140123,45,19495
20140123,46,19313
20140123,47,24641
20140123,48,30466
20140123,49,7131
20140123,99,490062
20140124,11,105379
20140124,26,36178
20140124,27,22991
20140124,28,29674
20140124,29,15001
20140124,30,15223
20140124,31,12990
20140124,41,128608
20140124,42,13597
20140124,43,15343
20140124,44,22395
20140124,45,20778
20140124,46,20086
20140124,47,25853
20140124,48,31702
20140124,49,7604
20140124,99,523593
20140125,11,93775
20140125,26,32292
20140125,27,21855
20140125,28,28175
20140125,29,13596
20140125,30,15468
20140125,31,11851
20140125,41,120243
20140125,42,11087
20140125,43,13611
20140125,44,18980
20140125,45,17043
20140125,46,16821
20140125,47,21606
20140125,48,27449
20140125,49,6626
20140125,99,470686
20140126,11,10919
20140126,26,4759
20140126,27,3149
20140126,28,5337
20140126,29,3318
20140126,30,4124
20140126,31,2940
20140126,41,25770
