이직여부,majorcat,school,area,sex,age,graduy,a001,industry,job,a010,a011,a012,a014,a016,a018,a020,a021,a116,a117,a118,a119,a122,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a151,a153,a158,a159,a160,a161,a162,a166,a168,a281,a282,a388,e001,f001,f004,f006,f008,f009,f010,f011,f013,f170,f023,f071,f072,f074,f079,f080,f081,f082,f083,f084,f085,f086,f101,f124,f138,g001,h001,i018,i050,j021,l001,n083,k001,k042,k043,k044,k045,k046,k047,k048,k049,k050,k051,k052,k053,k055,k056,k057,q015,q016,q017,p001,p014,p016,p017,p018,p020,p024,p028z,p031z,p035,p036,p046,p039,p041,p043,p045,r023,r024,r025,r026,r027,wt
2,1,1,1,2,24.33333333,2018,2019,14,6,1,1,1,1,6,1,1,1,5,45,6,0,200,200,4,3,2,4,2,3,5,4,5,1,3,1,2,3,4,4,3,3,1,6,3,5,1,1,3,1,1,1,2,2,1,13,2,2,2014,1,1,1,4,1,2016,1,7,1,5,1,4,0,0,80,20,0,0,0,1,2,2,2,1,2,2,2,2200,2,2,2,5,5,3,3,5,3,3,3,5,5,5,3,5,2,2,4,5,4,1,1,3,4,1,14,1,3,3,8,4,1,880,2,2,1,80,0,25,0,1,15.94647257
2,1,1,8,2,21.75,2018,2019,10,5,1,1,1,1,6,0,8,5,5,35,5,0,180,140,3,2,5,5,4,5,5,1,4,4,5,4,5,5,5,5,3,3,5,6,5,1,2,2,2,2,2,2,1,2,3,15,2,2,2016,1,9,1,1,1,2016,2,2,1,4,3,4.3,10,0,0,90,0,0,0,2,2,2,2,2,2,2,2,2500,2,2,1,5,5,5,2,3,3,4,4,3,4,3,3,4,4,4,7,7,7,1,2,1,2,1,9,1,5,5,5,1,3,1120,1,2,1,100,35,0,0,1,15.563146
2,1,1,11,1,25.25,2018,2017,7,7,9,8,1,8,6,1,2,1,5,32,0,0,160,160,2,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,6,2,4,2,1,2,1,1,1,2,2,9,7,1,2,2013,1,1,1,6,1,2014,2,2,1,4,4,4.3,10,0,0,90,0,0,0,2,1,2,2,2,1,2,2,2000,1,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,6,6,6,1,1,3,2,1,1,1,5,3,4,3,1,1920,2,1,2,50,0,0,25,1,29.4162455
1,1,1,8,2,36.25,2018,2008,15,3,9,7,1,8,2,0,5,1,5,40,0,0,450,200,3,4,4,2,1,1,4,4,4,2,2,2,3,3,2,3,1,1,1,6,1,4,2,2,1,1,1,1,2,2,9,1,1,2,2002,1,8,1,1,1,2016,2,7,1,3,3,3,0,30,40,30,0,0,0,1,2,2,1,2,2,2,2,3500,2,1,2,4,5,4,3,4,4,3,3,4,4,4,3,3,3,3,4,5,5,2,2,2,4,1,1,8,3,3,2,5,3,5400,2,1,1,300,20,0,0,1,18.31758107
2,1,1,8,2,26.75,2018,2018,16,3,5,5,1,8,6,1,1,1,5,40,0,0,200,170,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,6,4,1,2,1,2,1,1,1,2,2,9,3,1,2,2011,1,1,1,1,2,2016,1,5,1,4,3,4.2,100,0,0,0,0,0,0,2,2,2,1,2,1,2,2,2400,2,2,2,4,4,4,4,4,4,3,4,5,5,5,4,5,3,3,5,5,5,1,1,3,5,1,1,1,5,5,7,5,1,2400,2,2,1,150,0,0,0,1,14.50773578
2,1,1,14,2,54.5,2018,2001,7,7,3,3,1,14,2,0,1,4,5,50,0,0,250,300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,5,4,4,2,1,2,1,2,2,2,2,14,3,1,2,1984,1,14,1,1,1,2016,1,6,2,4,1,4.3,0,0,25,75,0,0,0,2,2,2,2,2,2,2,2,2000,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,6,6,6,1,2,1,1,1,14,14,5,4,9,3,3,3000,2,2,1,50,12,0,0,1,5.310752146
2,1,1,12,2,22.16666667,2018,2019,14,7,1,1,1,12,3,0,1,1,5,40,0,0,130,130,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,3,3,2,6,2,4,2,1,2,1,1,1,2,2,3,7,2,2,2016,1,12,1,1,1,2016,2,1,1,4,4,3.8,100,0,0,0,0,0,0,2,2,2,2,2,1,2,2,1800,2,2,1,4,4,5,2,3,3,4,4,3,4,4,3,4,3,3,4,5,5,1,1,3,4,1,10,12,3,3,4,3,1,450,2,2,1,20,0,0,20,1,25.64153694
1,1,1,12,1,52.16666667,2018,2018,14,9,-1,2,1,1,2,0,1,2,5,40,0,0,280,250,2,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3,2,2,3,6,2,2,1,1,2,1,1,1,2,2,13,1,1,2,1986,1,1,1,1,1,2016,1,2,1,4,4,3,0,0,60,40,0,0,0,2,2,2,2,2,2,2,2,5000,1,2,2,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,4,5,5,2,2,1,4,1,14,1,1,1,10,7,3,3080,2,2,2,200,0,0,10,1,26.32941969
2,1,1,12,1,33.58333333,2018,2016,3,1,2,2,1,12,2,0,1,4,5,40,0,0,500,500,3,4,3,3,3,4,4,4,3,3,4,3,2,3,4,4,3,3,3,6,4,2,2,1,3,1,1,1,2,2,7,9,1,2,2004,1,12,1,2,2,2016,1,6,1,3,3,3.5,0,0,100,0,0,0,0,2,2,2,1,2,2,2,2,10000,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,1,1,3,3,1,12,12,2,1,3,1,1,6000,2,2,2,180,0,0,16,1,26.32941969
2,1,1,12,2,23.41666667,2018,2018,11,1,9,5,1,12,2,0,1,1,5,40,10,1,185,185,3,3,3,3,3,3,3,3,1,4,3,3,3,3,4,4,3,3,4,6,4,2,1,1,2,1,1,1,3,2,2,1,1,2,2015,1,12,1,1,1,2016,2,1,1,3,3,2,0,10,0,90,0,0,0,1,2,2,1,2,1,2,2,2400,2,2,1,5,5,2,2,2,5,2,2,5,2,2,2,5,2,2,4,4,4,1,2,1,1,1,8,12,3,3,4,2,3,555,2,1,1,58,10,0,1,1,25.64153694
