이직여부,majorcat,school,area,sex,age,graduy,a001,industry,job,a010,a011,a012,a014,a016,a018,a020,a021,a116,a117,a118,a119,a122,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a151,a153,a158,a159,a160,a161,a162,a166,a168,a281,a282,a388,e001,f001,f004,f006,f008,f009,f010,f011,f013,f170,f023,f071,f072,f074,f079,f080,f081,f082,f083,f084,f085,f086,f101,f124,f138,g001,h001,i018,i050,j021,l001,n083,k001,k042,k043,k044,k045,k046,k047,k048,k049,k050,k051,k052,k053,k055,k056,k057,q015,q016,q017,p001,p014,p016,p017,p018,p020,p024,p028z,p031z,p035,p036,p046,p039,p041,p043,p045,r023,r024,r025,r026,r027,wt
1,7,1,8,2,22.33333333,2018,2019,14,5,1,1,1,8,1,0,1,1,5,40,0,0,190,190,3,2,4,3,5,2,2,3,3,3,3,3,4,3,3,4,3,3,4,6,3,2,2,1,2,1,1,1,3,2,13,4,1,1,2016,1,8,1,1,1,2016,2,1,1,4,4,3.5,80,0,0,20,0,0,0,2,2,2,2,2,2,2,2,2000,2,2,1,5,5,4,3,4,5,4,5,5,5,4,4,5,3,3,5,5,4,1,1,3,4,1,8,8,5,3,7,5,1,750,2,1,1,50,0,0,0,1,28.79860335
2,7,1,8,2,22,2018,2018,7,7,-1,1,1,8,6,0,2,1,6,48,0,0,200,200,3,3,4,4,3,3,3,3,3,3,3,3,4,3,4,4,3,3,2,6,3,4,2,1,2,1,1,1,2,2,3,2,1,2,2016,1,8,1,1,1,2016,1,5,1,3,3,3.7,100,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2200,2,2,2,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,6,6,6,1,1,3,4,1,8,8,4,4,8,6,1,2200,2,2,1,30,0,0,0,1,35.96260149
2,7,1,3,2,22,2018,2018,7,7,3,1,1,8,6,1,1,1,6,54,0,0,250,200,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,6,4,4,2,2,2,2,2,2,2,2,10,1,1,2,2016,1,3,1,1,1,2016,1,5,1,3,4,4.1,30,0,0,70,0,0,0,2,2,2,2,2,1,2,2,2800,2,2,1,5,5,5,3,3,3,4,4,3,4,4,2,3,2,2,6,5,5,1,1,3,4,1,3,3,4,3,5,4,1,1250,2,2,1,70,0,0,0,1,41.09032957
2,7,1,3,1,25,2018,2016,14,9,1,1,1,3,3,0,8,5,5,50,0,0,350,200,4,4,4,4,4,5,5,3,3,4,5,5,5,5,5,5,3,3,1,6,3,3,2,3,3,3,3,3,3,2,1,5,1,2,2013,1,3,1,1,1,2013,2,1,1,3,3,3.8,0,50,0,50,0,0,0,1,1,2,2,2,2,2,2,3000,2,2,1,5,5,5,3,5,5,5,5,5,5,5,1,5,3,3,7,7,7,1,2,1,1,1,3,3,1,1,4,2,3,4200,2,1,2,200,15,0,0,1,20.1915767
2,7,1,1,2,23.83333333,2017,2018,13,2,2,2,1,1,2,1,1,1,5,40,0,0,200,200,4,4,3,5,5,4,5,4,4,4,4,4,3,4,4,3,3,3,2,2,3,3,2,1,3,1,1,1,2,2,10,1,1,2,2014,1,1,1,6,1,2015,2,1,1,1,2,2.1,100,0,0,0,0,0,0,2,1,2,2,1,2,2,1,2200,2,2,2,5,5,5,4,4,5,5,5,5,4,4,2,3,2,2,4,5,5,1,1,3,3,1,1,8,6,5,8,5,1,1200,2,-1,1,30,0,50,0,1,50.05332671
2,7,1,1,2,22.5,2018,2019,7,5,1,1,1,1,9,0,1,1,5,35,0,0,180,160,3,3,3,3,4,3,4,3,3,2,3,3,3,3,3,3,3,2,2,6,3,2,1,1,2,1,1,1,2,2,2,1,2,1,2016,1,11,1,2,1,2016,2,1,1,4,4,3.5,100,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2000,2,2,1,4,4,3,3,3,4,3,3,4,4,4,4,4,3,3,6,7,6,1,2,1,1,1,11,1,3,3,3,2,3,1990,2,2,1,100,60,0,0,1,51.93847514
1,7,1,1,2,23.25,2018,2018,10,5,1,1,1,1,6,1,1,1,5,40,0,0,175,145,2,3,1,2,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,6,3,3,2,1,2,1,1,1,2,2,16,5,1,2,2015,1,1,1,1,1,2015,1,3,1,3,4,4.2,0,0,0,100,0,0,0,1,2,2,2,1,1,2,2,2400,1,2,1,4,4,5,4,4,3,5,4,4,4,4,4,3,4,4,3,3,3,1,1,3,5,1,1,1,3,3,4,3,1,1925,2,1,1,60,0,0,0,1,59.9291562
2,7,1,1,2,23.83333333,2018,2018,13,5,2,2,1,1,3,1,1,1,5,45,8,2,180,160,2,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,3,3,4,6,5,2,1,1,2,1,1,1,2,2,7,3,1,2,2014,1,8,1,1,1,2014,1,3,1,4,3,4.5,30,0,0,70,0,0,0,2,2,2,2,2,2,2,2,2100,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,1,1,4,4,1,8,8,5,5,4,5,1,1800,2,2,1,80,0,0,0,1,59.9291562
2,7,1,8,2,26.08333333,2018,2018,16,1,-1,-1,1,1,1,0,6,2,5,40,0,0,55,55,2,4,5,5,3,5,5,3,3,5,5,3,4,4,5,5,3,4,3,6,3,4,2,2,2,2,2,2,2,2,1,4,1,2,2012,1,5,1,2,1,2012,1,5,1,4,3,3,75,5,0,20,0,0,0,1,1,2,2,1,1,1,2,2200,2,2,1,4,4,5,5,3,3,5,5,4,3,3,3,3,5,5,7,7,7,1,2,3,4,1,5,5,3,3,4,1,1,550,1,2,1,60,12,1340,0,3,63.1947659
2,7,1,8,2,22.16666667,2018,2018,7,5,3,3,1,1,6,1,1,1,5,40,0,0,183,183,1,3,4,3,5,4,4,3,3,3,4,4,4,2,2,4,3,3,4,6,4,1,2,1,2,1,1,1,2,2,4,3,2,2,2016,1,8,1,1,1,2016,1,1,1,5,3,3.6,20,80,0,0,0,0,0,1,2,2,2,2,2,2,2,2400,2,2,2,4,4,5,5,3,3,4,4,4,4,3,2,3,3,3,5,5,5,1,1,3,3,1,8,8,5,3,4,4,1,1464,2,1,1,60,0,0,0,1,55.27185659
1,7,1,8,1,27.91666667,2018,2019,19,5,2,2,1,1,6,1,4,2,5,30,0,0,130,130,3,4,4,4,4,2,3,2,3,3,4,2,3,2,3,3,2,2,2,6,3,1,2,3,3,3,3,3,3,2,10,2,1,2,2009,1,1,1,2,1,2009,2,1,1,4,3,3.9,60,0,0,40,0,0,0,2,1,2,2,2,2,2,2,2400,2,2,2,2,4,5,4,3,3,4,4,4,4,3,2,3,2,2,4,5,5,1,1,3,2,1,1,1,2,3,2,3,1,200,2,2,2,80,100,0,32,1,46.74470297
2,7,1,7,1,25,2018,2018,6,2,3,3,1,7,2,0,1,1,6,58,10,3,200,200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,3,2,1,1,2,1,1,1,2,2,1,3,1,2,2013,1,7,1,7,1,2013,2,1,1,3,3,3.5,100,0,0,0,0,0,0,2,1,2,2,2,1,2,2,3000,2,2,2,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,5,5,5,1,1,3,3,1,2,7,3,3,9,6,1,2400,2,2,2,70,0,0,0,1,36.28420858
2,7,1,7,1,27.75,2018,2019,19,9,9,3,1,7,2,0,1,1,5,40,0,0,270,250,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,1,6,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2010,1,7,1,1,1,2010,2,2,1,4,4,3.7,0,0,80,20,0,0,0,2,1,2,2,2,2,2,2,3500,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,6,6,6,1,1,3,3,1,7,7,3,3,3,5,1,3000,2,2,2,100,0,0,0,1,36.28420858
2,7,1,6,2,22.75,2018,2019,13,2,3,3,1,6,2,0,1,1,5,40,0,0,180,180,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,6,4,2,2,1,2,1,1,1,2,2,1,2,1,2,2015,1,6,1,1,1,2016,2,1,1,3,3,3.7,30,0,0,70,0,0,0,2,2,2,1,2,2,2,2,2000,1,2,2,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,6,6,6,1,1,3,4,1,1,6,5,3,7,4,1,0,2,2,1,50,0,0,1,1,42.73784109
2,7,1,12,2,22.16666667,2018,2018,7,6,3,3,1,1,6,1,1,1,5,40,20,0,220,160,5,4,5,5,3,5,5,3,3,5,4,4,5,3,5,5,3,3,2,6,4,5,2,1,2,1,1,1,3,2,3,7,1,2,2016,1,1,1,1,1,2016,1,3,1,3,3,4.2,100,0,0,0,0,0,0,2,2,2,2,2,1,2,2,2200,2,2,2,5,1,5,3,3,1,5,5,5,5,5,3,3,5,5,7,7,7,1,1,3,6,1,1,8,3,3,5,3,1,1100,2,2,1,100,0,0,0,1,49.9550104
2,7,1,1,2,24,2018,2017,6,5,2,-1,1,8,2,0,1,1,4,40,0,0,260,210,4,3,3,3,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,6,4,3,1,1,2,1,1,1,2,2,4,3,1,2,2014,1,8,1,1,1,2014,1,3,1,3,3,3.7,100,0,0,0,0,0,0,2,2,2,2,1,1,2,2,2500,2,2,1,4,5,5,5,4,5,4,3,3,4,4,3,4,4,4,6,6,7,1,1,3,5,1,8,8,5,5,5,4,1,3120,2,2,1,120,0,0,0,1,19.26185953
1,7,1,8,2,21.91666667,2018,2017,7,7,3,3,1,1,6,0,1,1,5,45,0,0,180,160,2,1,1,5,5,1,1,3,1,3,1,1,1,1,1,1,2,1,1,6,3,1,2,1,2,1,1,1,2,2,3,13,1,2,2016,1,1,1,1,1,2016,2,1,1,3,3,4.2,50,0,0,50,0,0,0,2,2,2,2,2,1,2,2,2400,2,2,2,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,7,7,1,1,1,3,7,1,1,1,4,3,7,5,1,2160,2,1,1,80,0,0,0,1,20.11717208
1,7,1,2,2,48,2018,2014,18,9,1,1,1,7,1,0,1,5,6,48,0,0,50,50,1,2,5,3,3,5,4,1,3,4,5,2,5,3,2,4,4,4,4,6,4,5,2,2,2,2,2,2,2,2,3,7,1,2,1990,1,7,1,1,2,2016,3,8,1,2,1,4.2,0,0,75,25,0,0,0,2,2,2,1,2,2,2,2,2500,2,2,2,5,3,5,3,3,5,3,5,5,5,5,3,3,3,3,6,7,7,2,2,1,4,1,7,7,1,1,2,1,3,600,1,1,1,500,22,0,0,3,18.76883592
2,7,1,2,2,41.91666667,2018,2018,16,3,1,1,1,15,2,1,1,1,5,40,0,0,90,80,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,5,6,5,1,2,1,2,1,1,1,2,2,2,3,1,2,1996,1,2,1,6,1,2015,1,5,1,4,4,4,0,0,10,90,0,0,0,2,2,2,1,2,2,2,2,1800,2,2,2,4,4,5,4,4,4,5,5,5,4,4,4,5,4,4,6,7,5,1,1,3,3,1,13,2,2,2,6,3,1,1080,2,2,1,25,0,0,0,1,18.76883592
2,7,1,8,1,24.83333333,2018,2018,10,5,7,7,1,1,6,1,1,1,5,45,9,0,200,180,2,4,4,4,3,5,5,3,3,3,4,3,5,3,4,4,4,3,4,6,1,2,2,1,2,1,1,1,2,2,13,3,1,2,2013,1,1,1,1,1,2013,1,5,1,1,1,4.1,0,0,0,100,0,0,0,2,1,2,2,2,1,2,2,2300,1,2,1,5,5,5,5,5,5,5,4,5,5,5,5,5,3,3,4,4,5,1,1,3,4,1,1,1,6,5,9,6,1,400,2,2,2,80,0,0,0,1,14.54641711
2,7,1,8,2,25.33333333,2018,2019,7,1,1,1,1,8,2,0,1,1,5,40,0,0,180,180,4,4,3,4,5,3,4,4,3,4,4,4,2,4,4,3,3,4,1,6,2,2,2,1,2,1,1,1,2,2,2,9,2,2,2014,1,8,1,1,1,2014,1,3,1,4,2,3.9,100,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2220,2,2,2,5,5,5,2,3,4,3,2,4,4,4,2,2,1,1,5,6,6,1,1,3,5,1,8,8,5,3,6,4,1,2160,1,2,1,50,0,0,0,1,20.52297789
2,7,1,1,2,23.25,2018,2018,14,5,-1,-1,1,1,6,0,4,1,5,40,0,0,160,160,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,6,4,1,2,1,3,1,1,1,3,2,7,8,1,2,2015,1,1,1,1,1,2015,1,5,1,3,3,3.5,0,70,0,30,0,0,0,1,2,2,2,2,1,2,2,2400,2,2,2,5,5,5,3,3,3,5,5,5,4,4,3,3,3,3,4,6,7,1,1,3,4,1,1,1,3,3,2,2,1,640,2,2,1,65,0,0,0,1,32.80635702
2,7,1,8,2,24.16666667,2018,2018,3,9,1,1,1,9,10,0,1,5,5,40,0,0,600,100,4,3,3,4,4,4,4,3,3,3,4,4,4,3,4,4,2,2,1,6,1,1,2,2,2,2,2,2,2,2,3,16,1,2,2014,1,1,1,4,1,2014,2,1,1,3,2,3,10,0,0,90,0,0,0,1,2,2,2,2,1,2,2,1800,2,2,2,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,1,1,3,2,1,8,9,5,3,5,3,1,6600,2,1,1,200,40,0,0,1,43.48370322
1,7,1,17,1,25,2018,2018,10,5,-1,5,1,1,6,1,1,1,5,40,12,0,200,183,3,3,4,4,3,4,3,2,2,4,4,4,5,4,3,4,3,3,5,6,4,2,2,1,3,1,1,1,3,2,4,1,1,2,2013,1,8,1,2,1,2013,2,1,1,4,2,4.1,10,20,0,70,0,0,0,1,1,2,2,2,2,1,2,3500,2,1,1,4,2,5,3,2,2,4,4,4,4,4,2,3,4,4,4,4,4,1,1,3,5,1,1,8,3,3,3,3,1,2200,2,2,2,30,0,0,20,1,31.33271495
1,7,1,17,1,26.75,2018,2018,14,5,-1,-1,1,8,6,0,5,1,5,40,12,2,244,200,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,3,3,5,6,5,4,2,1,3,1,1,1,1,2,3,4,1,2,2011,1,16,1,8,1,2011,2,6,1,5,3,3.2,20,0,0,80,0,0,0,1,1,2,2,2,2,2,2,2000,2,2,1,5,3,5,5,3,3,5,3,3,3,3,3,3,3,3,7,7,7,1,2,1,1,1,16,8,2,3,4,4,3,2684,2,2,2,120,60,0,0,1,31.33271495
2,7,1,17,1,27.5,2018,2019,14,6,5,5,1,1,6,1,1,1,4,54,0,0,236,236,3,2,2,3,3,2,4,1,3,3,3,3,1,2,3,4,3,2,2,6,1,4,1,1,2,1,1,1,3,2,11,1,1,2,2011,1,1,1,1,1,2011,1,6,1,4,3,4.1,0,50,0,50,0,0,0,1,1,2,2,2,1,2,2,3000,2,2,2,5,5,5,3,3,3,5,5,5,5,5,3,3,1,1,4,5,4,1,1,4,4,1,1,1,2,3,3,2,1,0,2,1,2,200,0,0,0,1,31.33271495
2,7,1,14,1,25.25,2017,2017,18,10,5,5,1,2,1,0,1,1,5,40,0,0,170,160,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,2,2,2,1,2,1,1,1,1,2,3,7,1,2,2013,1,14,1,1,1,2013,2,1,1,1,1,3.5,20,0,0,80,0,0,0,2,1,2,2,2,1,2,2,2000,1,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,7,4,2,1,2,1,1,1,14,2,3,3,9,2,3,2040,2,2,2,90,15,0,0,1,23.1365108
1,7,1,5,2,22.16666667,2018,2018,7,7,-1,1,1,1,3,1,1,1,5,40,0,0,187,175,4,4,1,4,4,3,1,5,3,3,3,3,1,2,3,3,3,3,3,6,3,4,2,1,3,1,1,1,3,2,9,11,2,1,2016,1,5,1,7,1,2016,1,1,1,3,3,2.8,80,0,0,20,0,0,0,2,2,2,2,2,1,2,2,2100,2,2,2,5,5,5,1,2,1,5,4,4,4,3,5,5,4,4,3,5,3,1,1,3,4,1,5,5,3,3,2,3,5,1151,2,1,1,50,0,0,0,1,120.9602269
2,7,1,8,1,43.16666667,2018,2011,12,1,9,7,1,8,2,0,3,1,5,40,0,0,290,290,5,5,4,4,4,4,4,5,4,3,4,4,3,3,3,3,1,1,3,6,4,3,2,1,3,1,1,1,2,2,1,9,1,2,1995,1,9,1,7,1,2016,2,7,1,3,3,3.9,0,0,0,100,0,0,0,2,2,2,2,2,2,2,2,2200,2,1,2,5,4,4,4,5,5,4,5,5,5,5,4,4,4,4,6,6,6,2,2,1,5,1,9,8,3,3,3,4,3,3480,2,2,2,90,40,0,10,1,72.83139312
2,7,1,8,1,26.16666667,2018,2019,15,3,-1,3,1,8,2,1,5,1,5,40,0,0,280,280,4,4,3,4,5,4,5,4,5,4,4,5,4,4,4,4,3,3,2,6,2,1,2,1,3,1,1,1,2,2,9,11,1,2,2012,1,8,1,2,1,2016,1,1,1,3,3,4,20,80,0,0,0,0,0,1,2,2,2,2,2,2,2,2500,2,1,1,4,5,4,5,4,4,4,4,3,4,4,4,4,5,4,6,5,6,1,1,3,4,1,8,8,3,3,3,4,1,0,2,2,2,50,0,0,0,1,66.48666055
2,7,1,7,2,28.25,2018,2018,16,5,-1,3,1,2,2,0,1,1,5,10,0,0,126,126,4,4,4,5,5,4,4,4,4,5,5,5,5,4,4,4,3,3,5,6,5,3,1,2,2,2,2,2,2,2,1,2,1,2,2011,1,2,1,4,1,2016,2,1,1,4,4,3,50,0,0,50,0,0,0,2,2,2,1,2,1,2,2,3000,2,2,2,5,5,5,5,3,5,4,4,5,5,3,4,5,4,4,6,6,5,1,1,3,3,1,2,2,5,3,7,5,1,630,2,2,1,100,0,0,0,1,97.01761189
2,7,1,8,2,25.58333333,2017,2018,16,5,5,5,1,8,3,1,1,1,5,40,5,0,200,110,4,5,4,5,4,4,4,4,4,3,4,4,4,4,4,4,3,3,1,6,1,2,2,1,3,1,1,3,3,2,3,7,1,2,2012,1,1,1,1,1,2013,1,3,1,2,3,3.1,20,70,0,10,0,0,0,1,1,2,2,2,2,2,2,2000,2,2,2,4,4,4,2,3,3,3,3,5,4,4,3,3,2,2,4,4,4,1,1,3,3,1,1,1,2,2,5,4,1,400,2,2,1,60,0,0,0,1,21.72537848
2,7,1,5,2,22.75,2018,2019,17,3,3,3,1,5,4,0,1,1,5,40,10,0,252,250,5,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4,3,3,5,6,4,1,1,1,3,1,1,1,2,2,1,3,2,2,2015,1,5,1,1,1,2015,2,1,1,5,4,3.2,0,5,15,80,0,0,0,1,2,2,2,2,1,2,2,2200,1,2,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,7,6,5,1,1,3,2,1,5,5,4,5,9,3,1,1950,2,1,1,60,0,0,2,1,21.36798396
2,7,1,17,1,24.08333333,2018,2015,18,5,1,1,1,1,6,0,8,5,6,36,0,0,35,35,1,3,5,3,4,5,4,1,3,2,3,2,5,3,4,4,3,3,5,6,4,2,2,2,2,2,2,2,2,2,3,7,1,2,2014,1,1,1,7,1,2014,2,3,1,4,3,3.9,0,100,0,0,0,0,0,1,2,2,2,1,1,2,2,2400,2,2,1,2,2,5,5,2,3,5,2,2,3,3,3,3,3,3,4,3,2,1,2,3,2,1,13,1,5,4,-1,-1,3,420,2,2,7,25,10,100,0,1,27.50952618
2,7,1,8,1,28,2018,2017,16,3,3,3,1,1,6,1,1,2,4,20,0,0,170,70,3,3,5,4,4,4,4,2,1,4,4,4,5,5,4,5,3,3,5,6,5,3,2,2,2,2,2,2,2,2,4,3,1,2,2010,1,1,1,1,1,2013,2,3,1,4,4,3.8,0,80,0,20,0,0,0,1,1,2,2,2,1,2,2,3000,2,2,2,5,5,5,5,4,4,5,4,4,4,5,4,3,3,3,6,6,6,1,1,4,3,1,1,1,5,3,5,3,1,2040,2,2,2,100,0,0,0,1,28.48270447
2,7,1,12,2,22.41666667,2018,2019,18,6,4,4,1,1,6,0,1,2,5,45,2,4,200,200,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,2,2,1,6,1,2,2,1,2,1,1,1,3,2,1,2,2,1,2016,1,4,1,1,1,2016,2,3,1,4,4,4,0,0,10,90,0,0,0,2,2,2,2,2,2,2,2,2400,2,2,2,5,5,4,4,4,5,4,5,5,5,5,4,5,4,4,4,4,4,1,2,1,1,1,4,1,5,4,4,4,3,2600,2,2,1,40,80,0,0,1,34.79797154
1,7,1,8,1,28,2017,2019,14,1,1,1,1,1,2,1,1,1,6,48,18,0,210,210,1,1,3,3,1,4,1,3,2,3,2,3,5,4,1,2,3,4,3,6,1,3,2,2,2,2,2,2,3,2,1,7,2,1,2010,1,14,1,1,2,2015,2,6,1,4,4,2.7,0,100,0,0,0,0,0,1,2,2,1,2,2,2,2,2100,2,2,2,5,4,3,2,3,5,4,4,5,4,3,3,4,1,1,6,7,4,1,2,1,1,1,3,8,5,4,3,1,3,1650,2,2,2,120,40,0,0,1,27.98535159
2,3,3,2,2,24.5,2018,2019,16,3,5,5,1,15,1,0,6,1,5,40,0,0,220,220,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,3,5,1,1,2,1,1,1,1,1,2,3,8,2,2,2014,1,11,1,2,1,2014,2,2,2,5,5,3.5,0,0,0,100,0,0,0,1,2,2,2,2,1,2,2,2000,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,2,1,1,1,8,15,5,5,3,2,3,920,2,2,1,120,30,0,12,1,17.47770226
2,3,3,2,2,23.75,2018,2019,16,3,4,4,1,11,1,0,6,1,5,40,0,0,230,230,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,1,1,3,1,1,1,3,2,4,9,1,2,2014,1,8,1,1,1,2014,2,1,2,4,4,3.8,80,0,0,20,0,0,0,2,2,2,2,2,2,2,2,2500,2,1,2,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,5,5,5,1,2,1,1,1,8,8,5,5,7,4,4,0,2,2,1,35,0,0,10,1,17.47770226
2,3,3,3,2,24,2018,2018,16,3,3,3,1,14,2,0,6,1,5,40,0,0,270,270,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,6,3,3,1,2,1,1,1,1,1,2,2,4,1,2,2014,1,7,1,1,1,2014,2,1,1,4,5,3.5,100,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2400,1,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,1,2,1,1,1,2,14,3,3,8,4,3,2700,2,2,1,100,5,0,0,1,12.2180046
2,3,3,1,2,23.91666667,2018,2019,16,3,5,5,1,1,3,0,6,1,5,40,0,0,250,250,2,4,4,2,4,3,3,4,4,3,3,3,3,3,3,4,3,3,4,6,4,4,1,2,1,1,1,1,1,2,9,10,1,2,2014,1,1,1,1,1,2014,1,5,1,4,3,4.2,70,0,0,30,0,0,0,2,2,2,2,2,1,2,2,2400,1,1,1,5,5,4,4,4,4,4,5,5,5,5,4,4,4,4,6,6,6,1,1,3,4,1,1,1,5,5,7,6,1,0,2,2,1,30,0,0,0,1,12.81818182
2,3,3,9,2,23.75,2018,2018,16,3,9,9,1,9,9,0,6,1,5,40,0,0,230,225,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,3,3,5,2,6,2,2,1,2,1,1,1,1,2,2,15,7,1,2,2014,1,9,1,1,1,2014,2,2,1,1,2,3.1,80,0,0,20,0,0,0,2,2,2,2,2,1,2,2,2000,1,1,2,2,5,5,5,4,5,5,4,3,5,2,1,2,4,4,6,6,5,1,2,1,3,1,9,9,5,5,5,4,3,2300,2,2,1,100,55,0,2,1,18.53781754
2,3,3,8,2,24.5,2018,2019,16,3,4,4,1,8,1,0,6,1,5,40,0,0,215,200,3,5,4,4,5,4,4,5,2,4,3,2,5,4,4,2,3,3,4,6,2,2,2,1,3,1,1,3,3,2,3,2,2,2,2014,1,8,1,1,1,2014,1,5,1,2,4,3.6,0,0,0,100,0,0,0,2,2,2,2,2,1,1,2,2500,1,1,2,4,5,5,3,4,5,5,5,5,4,4,2,5,5,5,3,5,5,1,1,3,3,1,8,8,3,1,5,3,1,2000,2,2,1,90,0,0,20,1,23.87978257
2,3,3,8,2,23.66666667,2018,2018,16,3,5,5,1,8,2,0,5,1,5,40,0,0,200,195,3,5,4,4,5,3,5,4,4,5,4,5,4,4,4,4,3,3,5,6,4,2,1,1,3,1,1,1,1,2,3,2,1,2,2014,1,8,1,1,1,2014,1,5,1,5,2,3.8,70,0,0,30,0,0,0,2,2,2,2,2,1,2,2,2500,1,1,1,4,5,4,4,4,4,3,4,4,4,4,2,3,4,4,6,6,6,1,1,3,5,1,1,8,3,3,2,1,1,800,2,1,1,40,0,0,0,1,23.87978257
2,3,3,11,2,23.66666667,2018,2019,16,3,5,5,1,8,9,0,6,1,5,40,0,0,230,230,3,5,4,3,5,4,4,4,3,3,3,4,3,4,4,3,3,3,3,6,3,3,1,1,2,1,1,1,3,2,2,4,1,2,2014,1,8,1,9,1,2014,2,1,1,3,3,3.6,100,0,0,0,0,0,0,2,2,2,2,2,1,2,2,2400,2,1,1,5,5,4,2,3,3,4,4,4,4,4,2,3,2,2,4,5,6,1,2,1,1,1,1,8,5,5,4,3,3,0,2,2,1,100,0,0,30,1,15.85052501
2,3,3,10,2,26.66666667,2018,2019,16,3,5,5,1,8,1,0,6,1,5,40,0,0,215,215,3,5,4,5,5,4,4,4,3,4,4,4,4,4,4,4,3,3,5,6,4,4,1,2,1,1,1,1,1,2,1,9,2,1,2011,1,3,1,2,1,2014,1,5,1,5,4,3.5,70,0,0,30,0,0,0,2,2,2,1,2,1,2,2,3000,2,1,1,5,5,5,3,3,5,4,5,5,4,5,4,5,4,4,6,6,7,1,1,3,3,1,3,8,3,3,5,5,1,1730,2,2,1,30,0,0,0,1,14.86416145
2,3,3,10,2,23.66666667,2018,2019,16,3,-1,5,1,1,3,0,6,1,5,40,0,0,230,230,2,5,5,5,5,5,4,5,3,5,5,5,5,5,4,4,3,3,4,6,3,4,1,2,1,1,3,3,1,2,9,15,2,2,2014,1,1,1,1,1,2014,1,5,1,4,4,3.5,100,0,0,0,0,0,0,2,2,2,2,2,1,2,2,3000,1,1,2,5,5,5,4,4,5,4,4,5,5,5,3,4,5,5,6,6,6,1,1,3,5,1,8,1,6,5,6,5,1,2300,2,1,1,100,0,0,0,1,14.86416145
2,3,3,3,1,24.5,2018,2019,16,3,4,4,1,14,2,0,6,2,5,40,0,0,250,250,4,5,5,4,4,4,5,4,3,4,3,4,5,4,4,5,3,2,5,6,3,4,1,1,2,1,1,1,1,2,3,4,2,2,2014,1,3,1,2,1,2014,1,5,1,3,3,3.8,0,0,50,50,0,0,0,2,2,2,2,2,1,2,2,3000,1,1,1,5,5,5,3,3,5,4,4,4,4,4,3,4,4,4,4,5,6,1,2,1,1,1,3,14,5,5,5,3,3,2500,2,1,6,150,25,0,1,1,31.78408186
2,3,3,6,2,24.58333333,2018,2018,16,3,5,5,1,13,1,0,6,1,5,40,0,0,250,250,4,5,5,5,5,4,4,4,3,4,3,4,5,4,4,4,3,3,5,6,4,4,1,2,1,1,1,1,2,2,3,4,1,2,2014,1,16,1,1,1,2014,2,2,1,4,4,3.7,40,0,0,60,0,0,0,1,2,2,2,2,1,2,2,2400,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,6,6,4,1,2,1,1,1,13,13,3,5,6,1,3,2500,2,2,1,100,40,0,3,1,8.119941621
